timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.01,-0.0007279362471308559,896.5771198272705,0.3310060389339924,0.007481116146664135,False,542.1529469490051,293.3704824296454,8.409716258096188,106.0,0,0.4144509239686764,0.41445092396867644,0.22275710105895996,21.56042592180893,0,0,0,0,0,20,0,0
30000,0.00985,0.004539366316748783,629.4991426467896,0.32788397558033466,0.009893114678561687,False,437.0530536174774,294.9379199903964,15.89508572716549,105.0,0,0.41523947245067194,0.415239472450672,0.22294408082962036,25.256777432747185,0,0,0,0,0,20,0,0
45000,0.0097,0.0037343432486522943,827.3516602516174,0.29919764399528503,0.006858021049993113,False,188.63096302747726,283.77475560952456,6.460581557065802,101.0,0,0.4190699503773441,0.41906995037734407,0.22454029321670532,28.138717954047024,0,0,0,0,0,20,0,0
60000,0.00955,0.0027812693442683667,919.0172777175903,0.2845700290054083,0.0055327931040665135,False,191.98781037330627,265.19469518840634,7.843555428087155,99.0,0,0.424925096387588,0.4249250963875881,0.22536075115203857,29.083760260604322,0,0,0,0,0,20,0,0
75000,0.0094,0.0021130746317794546,908.4231014251709,0.2604632582515478,0.006221054500201717,False,242.8516109585762,258.2027444494578,5.803604151099905,98.0,0,0.42863997281351124,0.42863997281351124,0.22675126791000366,27.790750071406364,0,0,0,0,0,20,0,0
90000,0.009250000000000001,0.00041045728721655905,363.4575238227844,0.26364170014858246,0.006518920388771221,False,467.1647973060608,255.3128347820463,4.671346508210056,97.0,0,0.4295259772929291,0.4295259772929291,0.22654791176319122,33.408684650436044,0,0,0,0,0,20,0,0
105000,0.0091,-0.0006502521137008443,57.393301129341125,0.2601618058979511,0.008837210916681215,False,360.0891583561897,254.93702705371,3.365935776832032,97.0,0,0.4221163954697335,0.4221163954697335,0.2268085777759552,38.96113510243595,0,0,0,0,0,20,0,0
120000,0.00895,-5.010564927943051e-05,23.170429155230522,0.23285190761089325,0.014095787977566943,False,267.39210653305054,262.9456295641667,4.5800725569022065,100.0,0,0.41947503745720527,0.41947503745720516,0.22830075025558472,40.837568026036024,0,0,0,0,0,20,0,0
135000,0.0088,-0.0033997991122305393,21.434610098600388,0.24079198017716408,0.010299949906766415,False,294.7423101365566,271.9536955574377,4.788197570048377,103.0,0,0.41729513131997464,0.41729513131997464,0.22784186899662018,41.68631331063807,0,0,0,0,0,20,0,0
150000,0.00865,-0.008128518660669215,7.762085575610399,0.24250838160514832,0.012636301209568046,False,156.58388051390648,315.0842593953466,9.53463309135055,114.0,0,0.40474142443519245,0.4047414244351924,0.2277582734823227,42.436290353536606,0,0,0,0,0,20,0,0
165000,0.0085,-0.005174196936422959,6.618114598095417,0.2410989124327898,0.008344679517904297,False,158.31540110707283,365.52834472866493,18.462507921406566,131.0,0,0.4001955788950947,0.4001955788950947,0.22777998447418213,42.944809190928936,0,0,0,0,0,20,0,0
180000,0.00835,-0.008789971034275368,5.4827630035579205,0.2426149882376194,0.005964164432953112,False,129.62097871303558,437.95375887164454,12.754426933919,148.0,0,0.4203431462259382,0.42034314622593827,0.22778992354869843,42.49710049107671,0,0,0,0,0,20,0,0
195000,0.0082,0.0027487405750434846,7.427993573248386,0.24711667001247406,0.010870008758502081,False,161.98067128658295,446.8475928755819,11.504932116662877,160.0,0,0.4445762659753451,0.44457626597534516,0.2275429666042328,41.14065407589078,0,0,0,0,0,20,0,0
210000,0.00805,-0.001577437789819669,16.34519251435995,0.2361139841377735,0.008304986738949083,False,164.18833741545677,427.03288918035014,12.873539676868445,154.0,0,0.4471071383216447,0.4471071383216447,0.22815680503845215,39.97720957174897,0,0,0,0,0,20,0,0
225000,0.0079,0.0008276552835013717,15.88227728009224,0.23127669282257557,0.01238471528631635,False,195.2696137726307,409.60334784197147,11.810593571006235,150.0,0,0.43056569420450097,0.430565694204501,0.22851458191871643,39.90203179046512,0,0,0,0,0,20,0,0
240000,0.007750000000000001,0.0017440796073060483,19.0929631665349,0.20812752470374107,0.012743385159410536,False,179.03228378295898,397.5175091936206,14.50796257030128,156.0,0,0.42144133948446394,0.42144133948446394,0.22982805967330933,39.89355720952153,0,0,0,0,0,20,0,0
255000,0.0076,-0.004329063420300372,16.113707661628723,0.1770983710885048,0.007247956702485681,False,168.25054422020912,407.43930231386037,16.10139536975881,159.0,0,0.42818573130719334,0.42818573130719334,0.23161828517913818,39.830255553126335,0,0,0,0,0,20,0,0
270000,0.00745,-0.0021797061344841495,14.161109544336796,0.16153414361178875,0.011357140843756497,False,183.7601147890091,455.06532974053096,22.323220189810613,171.0,0,0.4160571532205365,0.41605715322053655,0.2325279414653778,40.33823500573635,0,0,0,0,0,20,0,0
285000,0.0073,0.0018628766702022403,29.70243740826845,0.1509061623364687,0.009294375733588822,False,292.3469207286835,456.3449884406183,20.78768658065837,176.0,0,0.3920686535849144,0.39206865358491444,0.23311582207679749,41.56142018735409,0,0,0,0,0,20,0,0
300000,0.007150000000000001,0.0075231040245853364,117.53210574388504,0.14773308113217354,0.0078452019370161,False,643.1228764057159,527.457718084778,30.865388547701567,201.0,0,0.3777240391733046,0.37772403917330466,0.23330479860305786,42.71356947720051,0,0,0,0,0,20,0,0
315000,0.006999999999999999,0.005717897656722926,186.75266563892365,0.13773462548851967,0.020862323988694698,True,890.9816176891327,535.2052097505072,30.71996616947325,200.0,200,0.23094745635364164,0.23094745635364167,0.23394770920276642,44.78769624233246,0,0,0,0,20,0,0,0
330000,0.006850000000000001,0.0030571263705496676,83.32849985361099,0.12133211828768253,0.023144622493418865,True,740.1670061349869,422.99546950160936,24.528770690471,170.0,0,0.3434046531809433,0.34340465318094326,0.23491281270980835,46.17723260447383,0,0,0,0,0,20,0,0
345000,0.006699999999999999,-0.0011615295807132497,35.1832669377327,0.10475891456007957,0.007843582046916708,False,588.6539800167084,366.67933967643023,19.809780870428238,144.0,0,0.3557818810786664,0.3557818810786664,0.23586013913154602,46.78682544827461,0,0,0,0,0,20,0,0
360000,0.00655,-0.0015824961301404983,16.971653282642365,0.10551927424967289,0.020501887804130092,True,372.708036005497,400.871231277564,14.679475457750968,181.0,0,0.3594883315980769,0.35948833159807697,0.235776886343956,47.53985947743058,0,0,0,0,0,20,0,0
375000,0.0064,-0.005991472222376615,6.0663939490914345,0.12233457528054714,0.01703027634357568,False,250.88329407572746,498.2112128962879,29.496822173041394,175.0,0,0.41967765296565773,0.4196776529656577,0.2347450852394104,47.448120690882206,0,0,0,0,0,20,0,0
390000,0.00625,-0.003393943887203932,5.271161634474993,0.12650318630039692,0.005013992893509567,False,225.21695950627327,495.42997063875964,17.80666364085723,166.0,0,0.41205449756510026,0.4120544975651002,0.23448772728443146,47.05003451183438,0,0,0,0,0,20,0,0
405000,0.0061,0.0010607756266836077,4.634197112172842,0.15620630607008934,0.007356917631113902,False,202.25797775387764,509.3900606565263,25.9941539362617,168.0,0,0.3866853287494084,0.38668532874940853,0.23279693722724915,47.47777388244867,0,0,0,0,0,20,0,0
