timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
270000,0.004745,0.09321003589138854,95.00346080213785,5.809947522357106,0.1723801017360529,True,407.5640111863613,1684.2364685799498,1199.887548672295,5394.7,0,0.3002346896508318,0.30014305437368505,8.105440360742736e-05,0.0570286326110363,175.86763029545546,0,0,0,20,0,0,0,0
285000,0.00473,0.10823116914980346,40.52803548425436,5.810155473649502,0.3571118203399237,True,329.14881920814514,2000.460950543514,922.1305699665392,3931.4,0,11.934785595461978,0.30003412000066915,17.772118699346215,0.05702865868806839,175.8733446057886,0,0,0,14,0,6,0,0
300000,0.004715,0.07754537750588497,131.48674960434437,5.809967700392008,0.1647755810408853,True,305.43302595615387,2209.600769742936,332.81470923080275,3704.6,0,14.88829360478345,0.3000384323769668,19.88035720377106,0.05702868476510048,175.87681727856398,0,0,0,13,0,7,0,0
315000,0.0047,0.09964760172442766,205.53649523854256,5.810023183003068,0.20771124192106072,True,343.6704826951027,2260.233579032826,350.31322985835664,3412.25,0,14.706073397389677,0.3002809014501202,18.684326526268165,0.057028695940971375,175.88490222766995,0,0,0,5,0,15,0,0
330000,0.004685000000000001,0.09945500810135854,143.60282787680626,5.810052124783397,0.31975871697068214,True,311.43405815958977,2306.164772509861,356.9900988357332,3444.6,0,13.34784877737321,0.3000376611480044,16.822023328736858,0.057028692215681076,175.8944607321173,0,0,0,11,0,9,0,0
345000,0.00467,0.13703164976323023,186.30432738363743,5.809900060296059,1.1247166697576176,True,311.26086124777794,2354.2768236329584,336.0642732788622,3336.65,0,13.292171357129941,0.30034399302631476,18.237195072284656,0.05702877789735794,175.9089332697913,0,0,6,9,0,5,0,0
360000,0.004655,0.15176894498290494,257.0993981361389,5.810073856264353,1.061269480502233,True,447.9130240082741,2524.125986901209,348.92040999301474,3246.2,0,12.32549573450545,0.3004298152246985,20.032952189019834,0.05702889338135719,175.92043859651312,0,0,4,12,0,4,0,0
375000,0.00464,0.1907047090571723,234.94623923301697,5.809921072795987,1.8469739436550299,True,427.33561730384827,2553.40650082408,350.0366847483554,3371.0,0,9.316295732388577,0.30019580400517365,16.816955531678456,0.05702901631593704,175.9455035852734,0,0,3,11,0,6,0,0
390000,0.004625000000000001,0.19959017501969356,211.37871432304382,5.8098822720348835,1.342510475544259,True,387.7868352532387,2446.9146841223946,469.06185886669334,3905.9,0,8.536987798491342,0.30002414605046895,10.773167412499811,0.057029057294130325,175.97832653392106,0,11,0,9,0,0,0,0
405000,0.00461,0.18327631907595787,252.52397245168686,5.8100531324744225,1.442155350363464,True,370.22211384773254,2594.6558338400373,465.0745540794871,3682.15,0,2.4753194371555565,0.30002107469078,1.7946492114669041,0.05702918767929077,176.0092440629378,0,0,3,3,0,14,0,0
420000,0.004595,0.18440745177940698,150.9766003191471,5.810012727975845,1.4290281677094754,True,378.39815506339073,2620.8041403949396,419.1492195467446,3961.25,0,1.61200209070198,0.3002188910872385,1.4442741318866257,0.057029299437999725,176.0361966751516,0,0,0,9,0,11,0,0
435000,0.00458,0.16069069951481652,199.14754754304886,5.809833420440555,1.3422505548514891,True,344.4941536784172,2556.307660829729,327.11504105573607,3673.0,0,5.192668801065338,0.3001215624193278,6.4756522165415005,0.05702930688858032,176.06668428704143,0,0,5,5,0,10,0,0
450000,0.0045650000000000005,0.24152180489181774,225.04840806126595,5.809821607545018,1.1333083621866535,True,442.9080999493599,2590.571328425057,316.8601170492163,3880.3,0,1.6389176320544725,0.30013163746767546,0.7200431478433481,0.05702938511967659,176.10087094828486,0,0,0,3,0,17,0,0
465000,0.00455,0.17118021952774143,143.40832835435867,5.809891354292631,1.4263104036217555,True,330.5005365014076,2616.5064023220607,315.98019117555106,4426.25,0,0.9034532682722538,0.3002485310388685,0.6252316752856087,0.05702942609786987,176.1335109807551,0,0,0,10,0,10,0,0
480000,0.004535,0.07806023470038781,77.29797193408012,5.810066096484661,5.594630395396962,True,339.78202298283577,2607.8521888680375,320.25040777045086,4470.4,0,1.3163303559046877,0.30000257569067307,1.2072843520607215,0.05702950060367584,176.1509686857462,0,0,0,11,0,9,0,0
