timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
180000,0.00835,-0.0043056227441411465,0.27279230672866106,0.12774808704853058,0.005220365404966287,False,9.539256270974874,19.226826419862185,2.7566994091667976,216.0,201,0.39963791401471804,0.399637914014718,0.23438763618469238,30.64286131411791,0,0,0,0,20,0,0,0
195000,0.0082,-0.00423095712903887,0.2965167083311826,0.10922534763813019,0.008796961992629804,False,7.457131866365671,12.759803697251453,2.011261631161458,195.0,180,0.39218357921442476,0.3921835792144247,0.23548279702663422,30.997161792591214,0,0,0,0,0,20,0,0
210000,0.00805,-0.010240679053822532,0.2782770940102637,0.12027492932975292,0.00928806264710147,False,7.1064818650484085,17.89551546644602,3.9029663795312444,229.0,214,0.38857296130696206,0.38857296130696206,0.23480792343616486,31.339667327702045,0,0,0,0,20,0,0,0
225000,0.0079,-0.00531641770794522,0.3564927536062896,0.11954534612596035,0.008924462308641523,False,12.834688246250153,21.858674949015477,3.428931747103583,234.0,219,0.33555380261097334,0.3355538026109734,0.234886035323143,32.54165557026863,0,0,0,0,20,0,0,0
240000,0.007750000000000001,-0.003094674364547245,0.2732869090978056,0.09792261384427547,0.004560741363093257,False,12.684576444327831,27.139952397741656,6.274310677344399,312.0,297,0.33498827395109065,0.3349882739510907,0.23613417148590088,33.475190464407206,0,0,0,0,20,0,0,0
255000,0.0076,-0.0027200043841730803,0.3122520479373634,0.08975875191390514,0.006429317931178957,False,11.30272201821208,23.924860860182502,3.9223286696290343,247.0,232,0.3538712232948721,0.3538712232948721,0.23663976788520813,34.32660309411585,0,0,0,0,20,0,0,0
270000,0.00745,-0.003208561771316454,0.24211542773991823,0.07779144868254662,0.003346292971400544,False,11.231556460261345,23.373960978606497,4.005400481974738,232.0,217,0.3877881356577221,0.3877881356577221,0.23726417124271393,34.8312429767102,0,0,0,0,20,0,0,0
285000,0.0073,-0.0068940436613047495,0.24674943333957344,0.08719590865075588,0.0026893535687122494,False,12.077655587345362,22.22176244159033,6.276486868726685,246.0,231,0.36829204633423995,0.36829204633423995,0.23676520586013794,34.93832604214549,0,0,0,0,20,0,0,0
300000,0.007150000000000001,-0.004611111275153235,0.20987027668161318,0.08425730839371681,0.00626962048409041,False,13.697182670235634,22.712779453253795,4.93624589065141,244.0,229,0.3745859405786691,0.3745859405786692,0.2369454801082611,35.18433111347258,0,0,0,0,20,0,0,0
315000,0.006999999999999999,-0.004997030599042773,0.21479528513737023,0.08152871206402779,0.005617934861220419,False,13.892515409737825,21.872011551329116,3.9343996872813145,248.0,233,0.36104347980352114,0.3610434798035212,0.23708383738994598,35.788220753893256,0,0,0,0,20,0,0,0
330000,0.006850000000000001,-0.0031068718308233656,0.19098297163145617,0.07708179391920567,0.007622866454767063,False,14.016576617956161,20.547000859948685,4.249608161048836,225.0,210,0.38792416370204325,0.3879241637020433,0.2373734712600708,35.99511017464101,0,0,0,0,20,0,0,0
345000,0.006699999999999999,-0.0033667823736323044,0.19233571080258116,0.09978648275136948,0.0019291758653707802,False,14.846412908285856,23.244334563432286,6.257044982127474,239.0,224,0.37602122829204015,0.37602122829204015,0.23597019910812378,36.17848498933017,0,0,0,0,20,0,0,0
360000,0.00655,-0.006413473282009363,0.16672787471907213,0.10384328290820122,0.008682362080435269,False,12.12701914459467,19.879666843326852,2.8291165221159997,210.0,195,0.39919251928543514,0.3991925192854351,0.235795259475708,36.43517896346748,0,0,0,0,0,20,0,0
375000,0.0064,-0.0040293639758601785,0.16245784220518544,0.11072153598070145,0.006406620886991732,False,11.91480502858758,17.97375380526115,2.2974258246122665,234.0,219,0.37831062578882857,0.37831062578882857,0.2353590577840805,36.500088503584266,0,0,0,0,20,0,0,0
390000,0.00625,-2.4691966245882213e-05,0.18241602228954434,0.10157439485192299,0.002847646304871887,False,14.843166057020426,21.46823801506796,5.485834075862174,225.0,210,0.3717523633504748,0.3717523633504748,0.23594507575035095,36.97112383693457,0,0,0,0,20,0,0,0
405000,0.0061,-0.001716117352771107,0.1464900062419474,0.10792273469269276,0.004966330758179538,False,14.781868394464254,17.270420324026684,4.172483553373685,221.0,206,0.3931000585827008,0.3931000585827008,0.2355068027973175,36.98814697191119,0,0,0,0,20,0,0,0
420000,0.0059499999999999996,-0.006408942863345146,0.21797788026742637,0.11046847701072693,0.0035781276383204386,False,25.50401169806719,31.25076168591944,7.686539786004919,270.0,255,0.3378406789635723,0.3378406789635722,0.2353762984275818,37.48062860965729,0,0,0,0,20,0,0,0
435000,0.0058000000000000005,-0.0028697404341073707,0.12819197069620714,0.10782656446099281,0.006303739064605907,False,13.349436491727829,19.775222268117584,2.206682518690832,215.0,200,0.3953102172917237,0.3953102172917238,0.23556749522686005,37.632656037807465,0,0,0,0,20,0,0,0
450000,0.00565,-0.0007309977954719216,0.14394387748325244,0.10145407356321812,0.003156915190629661,False,11.990058332681656,19.586738447430722,3.023827709544963,234.0,219,0.3768602084386644,0.37686020843866447,0.23595398664474487,37.71918784081936,0,0,0,0,20,0,0,0
465000,0.0055000000000000005,-0.0034374255483271554,0.119257070007734,0.11613929644227028,0.0040180111391237006,False,11.507631916552782,20.202790658890528,2.8071474488497867,220.0,205,0.3733660364713164,0.3733660364713164,0.23503535985946655,37.85654487274587,0,0,0,0,20,0,0,0
480000,0.00535,-0.004217952642648015,0.0984653967898339,0.11546824499964714,0.0027652966091409326,False,10.220420893281698,18.480479493042964,2.8914280900289278,218.0,203,0.37792010593168973,0.37792010593168973,0.23512139916419983,38.00176255591214,0,0,0,0,20,0,0,0
495000,0.005200000000000001,-0.002076408942230046,0.22397654282394797,0.1352925654500723,0.0062067818944342434,False,18.13755425438285,23.595479410707814,6.4792258138617065,217.0,202,0.36676975000842893,0.3667697500084289,0.23394593596458435,38.363509364426136,0,0,0,0,20,0,0,0
510000,0.00505,-0.0035730657327803783,0.11715652744169347,0.1437564678490162,0.0035482149687595665,False,9.962921652942896,20.017626992278448,2.2614873901711974,213.0,198,0.3901168241270687,0.3901168241270687,0.23345549404621124,38.28033892810345,0,0,0,0,0,20,0,0
525000,0.0049,-0.004312353594286833,0.11941514624049887,0.13500938937067986,0.00546452913840767,False,14.351399797946215,20.633343406064387,2.959153892563488,239.0,224,0.3783427007173522,0.3783427007173521,0.23396162688732147,38.33135248348117,0,0,0,0,20,0,0,0
540000,0.00475,-0.0014799949567532167,0.09551383776124567,0.1567415315657854,0.009338850868516602,False,13.283702746033669,18.75335536832393,5.9301037461387756,209.0,194,0.3795347119477688,0.3795347119477688,0.2327136993408203,38.44825614802539,0,0,0,0,0,20,0,0
555000,0.0046,-0.005274336217553355,0.137633505044505,0.17612127028405666,0.00885750366433058,False,21.310168251395226,23.58740806967048,4.569872320527676,238.0,223,0.3537880877864284,0.35378808778642834,0.23156343400478363,38.72863030619919,0,0,0,0,20,0,0,0
570000,0.00445,-0.003213863543351181,0.09376334442640655,0.1789360474795103,0.0023030572046991438,False,12.90857657790184,19.30128928811063,3.1761543071560983,220.0,205,0.389761181653676,0.38976118165367596,0.23141682147979736,38.73282588645816,0,0,0,0,20,0,0,0
585000,0.004300000000000001,-0.004893594916211441,0.08718026292626746,0.18983373418450356,0.005273468865198083,False,14.382966004312038,18.407789924172167,3.37202549226357,218.0,203,0.3894193487518705,0.38941934875187056,0.23076984286308289,38.83484017662704,0,0,0,0,20,0,0,0
600000,0.00415,-0.006454946589656174,0.15743433928582817,0.20342262275516987,0.008057643848587759,False,18.522755853831768,25.401869806581423,7.366985523666835,241.0,226,0.3695994961715733,0.3695994961715733,0.23001116514205933,39.02118066512048,0,0,0,0,20,0,0,0
615000,0.004,-0.005943233234575018,0.1037858635536395,0.21512535214424133,0.004261967711499892,False,10.510547883808613,21.236239843036003,3.2059813070568106,220.0,205,0.3909107617049006,0.3909107617049005,0.22932380437850952,39.17838937789202,0,0,0,0,20,0,0,0
630000,0.00385,-0.004780839852173813,0.11093474796507508,0.24662511236965656,0.0047575467033311725,False,10.988083899021149,21.341281762321024,2.9435605999315406,224.0,209,0.3776436313436197,0.37764363134361967,0.22749945521354675,39.131547352299094,0,0,0,0,20,0,0,0
645000,0.0037,-0.006428935943404213,0.09406706434674561,0.26861715503036976,0.009519356128294021,False,14.242774996906519,22.689959050513853,2.1843186705418103,229.0,214,0.37459856357423127,0.3745985635742312,0.22627957165241241,39.188297433778644,0,0,0,0,20,0,0,0
660000,0.0035499999999999998,-0.0030678407347295433,0.08342836197698489,0.29268138483166695,0.0032430919673061,False,14.542350511997938,20.817335791270484,3.010373277641484,239.0,224,0.3781501257812289,0.378150125781229,0.22491545975208282,39.20416954532266,0,0,0,0,20,0,0,0
675000,0.0034,-0.004381392507639248,0.09207646895083599,0.30255274288356304,0.0047827465168666095,False,10.79600054770708,21.494600255978824,3.9011609815716684,231.0,216,0.3711199963683184,0.37111999636831833,0.22437328100204468,39.366053719073534,0,0,0,0,20,0,0,0
690000,0.0032499999999999994,-0.0022880257747601718,0.12376537651289254,0.3025147207081318,0.0029878979548811913,False,12.38529185578227,21.780397048827332,2.547354155158758,232.0,217,0.3717674923227011,0.3717674923227012,0.22435206174850464,39.47297981381416,0,0,0,0,20,0,0,0
705000,0.0031000000000000008,-0.0032777181186247617,0.1772317389259115,0.29622803442180157,0.004237568180542439,False,16.929118931293488,25.236245468360273,4.586615099845123,243.0,228,0.37348562919885875,0.3734856291988587,0.22470736503601074,39.54645377770066,0,0,0,0,20,0,0,0
720000,0.0029500000000000004,-0.006747264240402728,0.07351938329520635,0.30892108753323555,0.005455391379655339,False,11.503447335213423,19.467901515055495,3.4733165722932524,213.0,198,0.3900560281710543,0.3900560281710543,0.2239919751882553,39.533692145720124,0,0,0,0,0,20,0,0
735000,0.0028000000000000004,-0.004289519376470707,0.12325386103475466,0.3164638187736273,0.00490400506532751,False,12.7990857437253,24.04082161688624,4.048438775361513,281.0,266,0.3495205265107028,0.34952052651070287,0.22359295189380646,39.46482429653406,0,0,0,0,20,0,0,0
750000,0.00265,-0.0038143702258821577,0.09746818372514099,0.3319860156625509,0.006586030838661827,False,16.448882717639208,24.352456621807306,5.51904318697409,225.0,210,0.3789495746607724,0.37894957466077234,0.2226749211549759,39.7402505800128,0,0,0,0,20,0,0,0
765000,0.0025,-0.0033873047796078026,0.08256419736426324,0.339153915643692,0.0046120767801767215,False,16.18486648052931,19.264205086751023,2.7267311362203506,224.0,209,0.38048145648566134,0.38048145648566134,0.2223278284072876,39.65422520600259,0,0,0,0,20,0,0,0
780000,0.00235,-0.001574403519043699,0.19267244939692318,0.3308019321411848,0.006517741829156876,False,19.402963493019342,24.47200483671721,3.8250256521316204,253.0,238,0.37381673052599035,0.3738167305259903,0.2228003293275833,39.833095544949174,0,0,0,0,20,0,0,0
795000,0.0021999999999999997,-0.00397948338650167,0.08927432238124311,0.32716247998178005,0.005101914182887413,False,16.83643762022257,22.231253324487767,3.442213513179545,257.0,242,0.36533267587869306,0.36533267587869306,0.22300460934638977,39.8210099413991,0,0,0,0,20,0,0,0
810000,0.0020499999999999997,-0.0017289075622102246,0.10120037489105016,0.34298078157007694,0.004497320085647516,False,14.386310085654259,24.567872657786186,4.8778127688323725,233.0,218,0.3846944590805631,0.384694459080563,0.2220771610736847,40.116579880937934,0,0,0,0,20,0,0,0
825000,0.0018999999999999996,-0.007138114087865688,0.08290397899691015,0.3568965271115303,0.005613282235572115,False,16.58494335412979,21.39190104275394,5.038932136907963,228.0,213,0.3866645446335927,0.38666454463359257,0.22135916352272034,39.94131774455309,0,0,0,0,20,0,0,0
840000,0.0017500000000000005,-0.003439002772211097,0.08058597659692168,0.37527042627334595,0.004910278905299492,False,15.503859836608171,20.586075966596148,3.56652544793569,222.0,207,0.3928742406761413,0.3928742406761413,0.2203572690486908,39.998064955696464,0,0,0,0,20,0,0,0
855000,0.0016000000000000003,-0.009076181166165043,0.06661306184832938,0.3963929656893015,0.006214557244675234,False,15.567312333732843,18.572137385553106,2.3087479793534595,223.0,208,0.38928354607384613,0.3892835460738461,0.21920090913772583,40.02541175670922,0,0,0,0,20,0,0,0
870000,0.0014500000000000001,-3.4450305975042284e-05,0.1462507068645209,0.42541048396378756,0.002020945932599716,False,16.54040778428316,27.334629376348893,7.617102246012672,235.0,220,0.36921432410417354,0.3692143241041736,0.2176263928413391,40.315839007496834,0,0,0,0,20,0,0,0
885000,0.0013000000000000002,-0.002855860788258724,0.08750628435518593,0.445628278888762,0.004598105835611932,False,14.481864266097546,20.51846719857676,4.660018234821599,234.0,219,0.3859856267555254,0.3859856267555254,0.21655523777008057,40.40051166340709,0,0,0,0,20,0,0,0
900000,0.00115,-0.005691937796655111,0.07375887205125764,0.4695933274924755,0.005839424280566163,False,17.250569324940443,20.841758092382083,2.865632541075647,237.0,222,0.3868375455535741,0.3868375455535742,0.21521148085594177,40.3311973977834,0,0,0,0,20,0,0,0
915000,0.001,-0.002223580697318539,0.10698720277287066,0.4986704718321562,0.0074276121449656785,False,17.25974054634571,24.881828169653573,6.972947934259342,238.0,223,0.3810945659402139,0.3810945659402139,0.21368150413036346,40.57383430749178,0,0,0,0,20,0,0,0
930000,0.001,-0.005328766361344606,0.13469072355655953,0.5274771107360721,0.007744291462586261,False,19.934990342706442,27.87922372230047,5.009715281149655,261.0,246,0.3512173332994565,0.3512173332994564,0.21213239431381226,40.557444624602795,0,0,0,0,20,0,0,0
945000,0.001,-0.002384188861469738,0.1346492279553786,0.5463806763291359,0.00450442946748808,False,21.391543935984373,27.578608373036396,7.096072540961994,265.0,250,0.3719800826323797,0.3719800826323797,0.21119549870491028,40.82186767831445,0,0,0,0,20,0,0,0
960000,0.001,-0.005684588657459244,0.08095600691740401,0.5590735925361514,0.007548638619482517,False,16.57768015190959,22.98225155959432,3.7354145164758843,243.0,228,0.38231761286600585,0.38231761286600596,0.21052005887031555,40.7700014077127,0,0,0,0,20,0,0,0
975000,0.001,-0.0034528332762420177,0.06570466910488904,0.5846480103209615,0.007744440459646285,False,16.45641492307186,23.630586105405833,3.3218087764026394,236.0,221,0.3803605932150528,0.38036059321505283,0.20916682481765747,40.75810921937227,0,0,0,0,20,0,0,0
990000,0.001,-0.005384674950619228,0.1134893205598928,0.6074496489018202,0.004031577846035361,False,16.4503443390131,23.79754175901766,4.978328312049855,249.0,234,0.3668117829736678,0.36681178297366784,0.20798513293266296,40.65802453830838,0,0,0,0,20,0,0,0
1005000,0.001,-0.0062747580668656155,0.12453539640409872,0.6050262348726392,0.007430635319906287,False,19.76542640477419,26.565218079451302,5.097022900595239,281.0,266,0.38458132523240457,0.3845813252324046,0.20815080404281616,40.89154451712966,0,0,0,0,20,0,0,0
