timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.01,-0.0026512246404308826,4.331640530377626,0.3239408489316702,0.004326956230215728,False,4.867897469550371,11.115592472243542,0.9430598792532645,131.0,0,0.3852616982370852,0.3852616982370853,0.2231665998697281,19.458365289960057,0,0,0,0,0,20,0,0
30000,0.00985,-0.0034999341442016885,0.49752761516720057,0.28766110353171825,0.006835510357632302,False,5.480898927897215,9.29480443221546,0.7957370852743261,127.0,0,0.3885499244472578,0.3885499244472578,0.22523657977581024,23.389255629852414,0,0,0,0,0,20,0,0
45000,0.0097,-0.005920598858210724,0.4119037988130003,0.2620583064854145,0.007516748126363382,False,5.7004167549312115,13.062101802768657,1.6551489056531263,145.0,0,0.37430996405152706,0.3743099640515271,0.2266497164964676,24.5672677885741,0,0,0,0,0,20,0,0
60000,0.00955,-0.001930185710079968,0.9346826155669987,0.23914860375225544,0.007621704207849689,False,7.0713620111346245,20.213586330371754,1.5922632632387663,183.0,0,0.3600026398555586,0.36000263985555864,0.2279672622680664,25.341274604201317,0,0,0,0,0,20,0,0
75000,0.0094,-0.00012608224642463028,2.361377798835747,0.221499215811491,0.002010173353482969,False,11.174259502440691,40.5993208248413,7.7050540581451505,200.0,200,0.2661502043561107,0.26615020435611075,0.2289859652519226,24.559520069509745,0,0,0,0,20,0,0,0
90000,0.009250000000000001,-0.0020940217073075473,1.9726360698696226,0.16671104915440083,0.004100173158803955,False,10.142316464334726,29.3429744845137,9.381928880732389,213.0,0,0.39409405083872323,0.3940940508387232,0.23218850791454315,25.00507804378867,0,0,0,0,0,20,0,0
105000,0.0091,-0.0020121284032939,2.5696402015164495,0.14584956504404545,0.011360634031007066,False,9.606651730835438,33.666126609055524,10.74789316036859,200.0,200,0.2114864454200876,0.2114864454200876,0.23337750136852264,25.18355155736208,0,0,0,0,20,0,0,0
120000,0.00895,-0.0019295220699859783,1.4964870987460017,0.12668911181390285,0.003572724250261672,False,8.837089776992798,22.64973006944946,7.628686604514058,200.0,200,0.22373300821491976,0.22373300821491982,0.23448346555233002,25.59224036335945,0,0,0,0,20,0,0,0
135000,0.0088,-0.0038295702979667112,1.5801610057242215,0.11775954999029636,0.006480277545051649,False,9.15011577308178,22.274815900474156,1.6122733854449949,200.0,200,0.26088744459053437,0.26088744459053437,0.23496179282665253,25.908519685268402,0,0,0,0,20,0,0,0
150000,0.00865,-0.0014253637418732978,2.0120871404651552,0.10451015830039978,0.00778564321808517,False,6.421295551583171,29.210358358248158,9.440515224846612,200.0,200,0.24655318346053265,0.24655318346053265,0.235760897397995,26.12023663520813,0,0,0,0,20,0,0,0
165000,0.0085,-0.00330122270679567,1.267563397064805,0.09731064178049564,0.004874169797403738,False,8.689567673951387,30.24560330695317,10.686308178477711,212.0,0,0.39851053290263366,0.3985105329026336,0.23617729544639587,26.861102759838104,0,0,0,0,0,20,0,0
180000,0.00835,-0.00260519896983169,1.274347742786631,0.07935382053256035,0.004388942354125902,False,8.45292430371046,31.08744946779518,10.32173679128717,203.0,0,0.38225380835840267,0.3822538083584026,0.23725850880146027,27.10713519155979,0,0,0,0,0,20,0,0
195000,0.0082,-0.003842858990537934,0.784596930257976,0.05848545767366886,0.006423126091249287,False,8.7917949706316,45.211085645358914,1.5609467600459097,200.0,200,0.10711503875572796,0.10711503875572796,0.23846466839313507,26.851160999387503,0,0,0,0,20,0,0,0
210000,0.00805,-0.0015650034183636308,0.28909033513627946,0.027144193649291992,0.0044579636451089755,False,6.884092880412936,45.07616502844443,1.0618799562072025,200.0,200,0.1689975579687512,0.1689975579687512,0.24035407602787018,27.025780625641346,0,0,0,0,20,0,0,0
225000,0.0079,-0.0044856921012979,1.1258279122412205,-0.012372072786092758,0.005115912601468153,False,10.58219775184989,38.35464067084408,10.067451782069472,201.0,0,0.365334264759155,0.36533426475915504,0.24279001355171204,27.90804798901081,0,0,0,0,0,20,0,0
240000,0.007750000000000001,-0.0011041604666388594,1.505194223485887,-0.0093145240098238,0.004817506123799831,False,10.475300630554557,28.946248078057216,9.597747660262115,206.0,0,0.3688579065717977,0.36885790657179773,0.24254733324050903,28.643658258020878,0,0,0,0,0,20,0,0
255000,0.0076,-0.0017526253795949742,1.6575672393664718,-0.024969104677438736,0.006436319075874053,False,11.188229374587536,35.91732380418203,10.635360511967932,200.0,200,0.2819885888340126,0.28198858883401257,0.24353688955307007,28.739656552672386,0,0,0,0,20,0,0,0
270000,0.00745,-0.00571145792491734,0.802740732440725,-0.026899170130491257,0.003163215529639274,False,10.362404443323612,39.27083781950962,9.69515008362703,200.0,200,0.23667125730274,0.23667125730273994,0.24366015195846558,29.02855384722352,0,0,0,0,20,0,0,0
285000,0.0073,-0.0033659891632851213,1.3104058266617358,-0.04055250436067581,0.005940402057603933,False,12.328864384442568,43.91773474563774,7.097263589143465,200.0,200,0.23591432148387503,0.23591432148387498,0.24450689554214478,29.651322800666094,0,0,0,0,20,0,0,0
300000,0.007150000000000001,-0.0038177390015334822,1.2251860983669758,-0.033070849254727364,0.0038120183598948643,False,14.739783614873886,38.27829656287254,10.134397954650439,200.0,200,0.2073994239783253,0.2073994239783253,0.24401192367076874,30.175920892506838,0,0,0,0,20,0,0,0
315000,0.006999999999999999,-0.005897308466956019,1.194971086923033,-0.056193744763731956,0.006986885331571102,False,15.99767204374075,36.04822274009217,11.054138494327653,203.0,0,0.36634099474141213,0.3663409947414122,0.2455100119113922,30.8946128860116,0,0,0,0,0,20,0,0
330000,0.006850000000000001,-0.002381033915298758,1.3783904323354363,-0.06000073812901974,0.0048785747203510255,False,17.559806868433952,27.711920925683632,8.444190071946096,196.0,0,0.3683430018553021,0.3683430018553021,0.24568292498588562,31.4634314738214,0,0,0,0,0,20,0,0
345000,0.006699999999999999,-0.0035722229440580122,1.3279793113470078,-0.08499106392264366,0.003458571372902952,False,16.74628584459424,38.026871264588685,10.297174546947357,200.0,200,0.2783485687490275,0.27834856874902747,0.24730294942855835,31.281203780323267,0,0,0,0,20,0,0,0
360000,0.00655,-0.0010592342296149582,2.1731640305370092,-0.0759202092885971,0.0021629288821714,False,22.127554647624493,32.762304297702606,11.043558585944512,200.0,200,0.27586835441030844,0.2758683544103085,0.24673697352409363,31.241587195545435,0,0,0,0,20,0,0,0
375000,0.0064,-0.002395286792307161,1.5056885853409767,-0.07155527174472809,0.010427023473312147,False,16.259221591055393,32.02956553058065,10.704319313125826,200.0,200,0.2251729517774673,0.22517295177746732,0.24645081162452698,31.334338136017323,0,0,0,0,20,0,0,0
390000,0.00625,0.01141208905755775,0.5876867671031505,-0.0968660768121481,0.010443161372677423,False,10.42720253393054,38.456712652422866,10.296110901055815,200.0,200,0.24116070701922424,0.24116070701922424,0.2481013834476471,31.444844186306,0,0,0,0,20,0,0,0
405000,0.0061,-0.0017069521418306977,2.093741244636476,-0.10590947791934013,0.004338237777119502,False,20.047201227396727,33.40713978184737,10.730204409898846,200.0,200,0.26063844263570213,0.2606384426357021,0.24862520396709442,31.878698371350765,0,0,0,0,20,0,0,0
420000,0.0059499999999999996,0.00023733281705062836,0.5622493519913405,-0.10772520489990711,0.004118716387893073,False,13.022249234840274,41.342071763896605,8.726802088197893,200.0,200,0.19605452651796157,0.1960545265179616,0.2488536834716797,32.12208395078778,0,0,0,0,20,0,0,0
435000,0.0058000000000000005,-0.002152634900994599,1.382392271887511,-0.12197358533740044,0.0033431277552153915,False,23.23535492271185,40.3371491993843,8.064758076960464,200.0,200,0.2860466917133754,0.2860466917133754,0.24970442056655884,32.52983116544783,0,0,0,0,20,0,0,0
450000,0.00565,-0.005047518206993118,1.2748034275136888,-0.14038112200796604,0.005391503378632478,False,20.045504115521908,40.030602688776625,8.196679732437206,200.0,200,0.2665582004696584,0.26655820046965834,0.2508852183818817,32.951757526025176,0,0,0,0,20,0,0,0
465000,0.0055000000000000005,-0.0029741663893219084,0.5232402227120474,-0.1557304970920086,0.007324574049562216,False,14.019731156527996,42.700240944475,6.73310158002524,200.0,200,0.24081400884026158,0.24081400884026163,0.2519136965274811,33.37751108594239,0,0,0,0,20,0,0,0
480000,0.00535,-0.0019488467369228601,0.8251367437187582,-0.14285342954099178,0.007027652507531457,False,17.295795191079378,33.272420151099574,10.44649054404843,200.0,200,0.2339817641551861,0.2339817641551861,0.2510531544685364,33.33734990702942,0,0,0,0,20,0,0,0
495000,0.005200000000000001,-0.0031812495726626366,0.47136864869389683,-0.15552318841218948,0.0009834628435783088,False,10.590905342251062,43.418466737472315,7.091873847587384,200.0,200,0.23181268739774824,0.2318126873977482,0.2519186735153198,33.1624600533396,0,0,0,0,20,0,0,0
510000,0.00505,-0.007192110468167812,0.5282780663110316,-0.17355594411492348,0.004625990011845715,False,11.033303044736385,40.32905594115318,8.014325592869035,200.0,200,0.22666648471885315,0.2266664847188531,0.2529858648777008,33.06090889407642,0,0,0,0,20,0,0,0
525000,0.0049,-0.0023785679950378835,0.5593697552103549,-0.17491085454821587,0.005328576356987469,False,14.196623276919127,42.59804138928132,7.386130717384383,200.0,200,0.15716444858139528,0.15716444858139525,0.2530760169029236,33.44850333221257,0,0,0,0,20,0,0,0
540000,0.00475,-0.0048776731273392215,0.7462165337055922,-0.18612783960998058,0.007231654060888104,False,13.342947222292423,42.840080016191344,6.28888332255792,200.0,200,0.2674592877336372,0.26745928773363714,0.25372326374053955,33.29862001875881,0,0,0,0,20,0,0,0
555000,0.0046,-0.0018600588373374194,0.24893692461773753,-0.1792941801249981,0.003551943984348327,False,9.831760250031948,43.92989266324078,7.699338645230751,198.0,0,0.355288564167342,0.355288564167342,0.25328242778778076,33.619352207519114,0,0,0,0,0,20,0,0
570000,0.00445,-0.005491508294653613,0.3087796709151007,-0.18494448252022266,0.0033587252110010013,False,10.51908402517438,45.930518196813054,1.7186033349843497,200.0,200,0.19642907578998212,0.19642907578998214,0.25363510847091675,33.69814860727638,0,0,0,0,20,0,0,0
585000,0.004300000000000001,-0.0005171003140276298,0.8913701814599335,-0.1851347517222166,0.0034143834200222045,False,19.748791813850403,33.82558104434533,11.24698193001264,200.0,200,0.0998620347811203,0.0998620347811203,0.2536161541938782,34.08732446655631,0,0,0,0,20,0,0,0
600000,0.00415,-0.0027985195629298687,1.6903170985169709,-0.19679901003837585,0.006172750872792676,False,26.435574561357498,42.66473226529029,6.244382197755449,200.0,200,0.22535021088334345,0.22535021088334342,0.254370778799057,34.06947003863752,0,0,0,0,20,0,0,0
615000,0.004,-0.0030071578730712645,0.39527917065424845,-0.2028470430523157,0.004429834370967001,False,13.523203536868095,39.036294611196894,10.052547917489987,200.0,200,0.27021320763939705,0.270213207639397,0.2547639310359955,34.279672181233764,0,0,0,0,20,0,0,0
630000,0.00385,-0.002944307023426518,0.9516682946123183,-0.19639716111123562,0.007095697626937181,False,20.27951667830348,43.38980581433112,7.534584385892691,200.0,200,0.214919703398947,0.21491970339894695,0.2543424665927887,34.36533768102527,0,0,0,0,20,0,0,0
645000,0.0037,-0.003353918520588195,1.4208678444847465,-0.20326611399650574,0.011082756362156942,False,18.47814980149269,44.688584952964845,1.1821688789076958,200.0,200,0.24086241918916182,0.2408624191891619,0.25486403703689575,34.11918187327683,0,0,0,0,20,0,0,0
660000,0.0035499999999999998,-0.0019431672408245504,1.29578976938501,-0.2242908887565136,0.006408426692360081,False,16.724288661032915,36.46927395374812,11.438977647259051,207.0,0,0.35653038618107424,0.3565303861810743,0.2561606764793396,34.211097199469805,0,0,0,0,0,20,0,0
675000,0.0034,-0.002875446225516498,0.7277865012874827,-0.21756717935204506,0.007279869882040657,False,13.096955113112926,41.09267028902782,9.380657027748105,200.0,200,0.28965772932410083,0.2896577293241009,0.2557844817638397,34.284793213009834,0,0,0,0,20,0,0,0
690000,0.0032499999999999994,-0.0038474434113595635,0.9083261647028849,-0.20618115365505219,0.003469985764240846,False,17.40728970989585,43.34100986865624,6.789074574073266,200.0,200,0.29227400954425564,0.2922740095442556,0.25501036643981934,34.49976727925241,0,0,0,0,20,0,0,0
705000,0.0031000000000000008,0.00025217680376954377,0.3503109433222562,-0.21426653303205967,0.004662340477807447,False,10.97223001345992,43.52734578931039,6.151304983308953,200.0,200,0.18242823184178458,0.18242823184178455,0.25562620162963867,34.66906821727753,0,0,0,0,20,0,0,0
720000,0.0029500000000000004,-0.0019253998980275355,0.6375801784452051,-0.20933706872165203,0.0034667900908971205,False,14.544720020145178,40.80452304372342,9.213266575474075,200.0,200,0.25852153030477454,0.2585215303047746,0.255235493183136,34.87779596820474,0,0,0,0,20,0,0,0
735000,0.0028000000000000004,-0.005026644677855074,0.9476658329367638,-0.22153310105204582,0.007066146965371445,False,22.175890296697617,38.073559027564784,9.547465642403747,200.0,200,0.20833409431030905,0.20833409431030905,0.2560094892978668,35.2148226313293,0,0,0,0,20,0,0,0
750000,0.00265,-0.005482972279423848,0.45257394504733384,-0.22187408991158009,0.00532768337870948,False,13.99115601927042,38.62122644358926,9.383410379691567,200.0,200,0.22538008830473305,0.22538008830473305,0.25595784187316895,35.32269299402833,0,0,0,0,20,0,0,0
765000,0.0025,-0.002690463821636513,1.1256766763981432,-0.21247844770550728,0.005143776113982312,False,22.64406620338559,40.17480026644982,8.767001774285598,200.0,200,0.21717573064639034,0.21717573064639037,0.2552858293056488,35.67709342762828,0,0,0,0,20,0,0,0
780000,0.00235,-0.004705092869699001,1.1512975646182895,-0.2024963703006506,0.005521195838809945,False,14.005059622228146,37.34216940975959,10.854767909740508,200.0,200,0.2497108805942879,0.24971088059428798,0.25466805696487427,35.66028170287609,0,0,0,0,20,0,0,0
795000,0.0021999999999999997,-0.0015397733222926036,0.43702046875841916,-0.19933182559907436,0.003506770110107027,False,14.283499334007502,35.54145925046687,10.434341476050383,200.0,200,0.278404801491759,0.27840480149175895,0.25455179810523987,35.78213203325868,0,0,0,0,20,0,0,0
810000,0.0020499999999999997,-0.00473578913079109,1.2768104802817106,-0.18639647401869297,0.0010102956293849275,False,22.955424278974533,26.173837513118876,9.496578770469515,195.0,0,0.3847694824195606,0.3847694824195606,0.2535955011844635,35.788980178534985,0,0,0,0,0,20,0,0
825000,0.0018999999999999996,-0.004924209220916964,2.214132984634489,-0.18013711087405682,0.00613715207146015,False,22.267224371433258,37.35026041259867,9.50077210814696,204.0,0,0.35392008917767737,0.3539200891776774,0.2532730996608734,35.88452356308699,0,0,0,0,0,20,0,0
840000,0.0017500000000000005,-0.0010082198568852618,0.5551593860145658,-0.19973770156502724,0.0033457837271271273,False,17.177868839353323,41.06466494228819,8.708483615887074,200.0,200,0.1984008566877194,0.19840085668771942,0.2545870840549469,36.08154375106096,0,0,0,0,20,0,0,0
855000,0.0016000000000000003,-0.002736894712143112,1.2189680966548622,-0.21145998500287533,0.007226073794299737,False,27.145463000983,37.84057751892742,10.23390382640895,200.0,200,0.2943636924678508,0.2943636924678508,0.25530341267585754,36.28561521694064,0,0,0,0,20,0,0,0
870000,0.0014500000000000001,-0.005507210589712486,1.883723965846002,-0.20969654247164726,0.006724075676174834,False,22.95098165050149,41.148557573103446,8.313953456600238,200.0,200,0.1706822456082673,0.1706822456082673,0.25518599152565,36.2095251865685,0,0,0,0,20,0,0,0
885000,0.0013000000000000002,-0.0017475073836976662,0.8790888485964388,-0.19957954809069633,0.0038007055991329253,False,15.495698284357786,42.41235889831939,6.143590651719228,200.0,200,0.14557879354669154,0.14557879354669157,0.2544940114021301,36.020751155912876,0,0,0,0,20,0,0,0
