timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.01,0.005258171586319804,3.0449700271710753,3.0894789695739746,0.009015531846671365,False,23.764186138287187,70.96594874448941,109.21198310702836,3963.0,0,0.31320459009838697,0.31320459009838697,0.0,0.11140766739845276,38.274133034050465,0,0,0,0,0,20,0,0
30000,0.00985,0.020150230251601897,2.7005810332484543,3.0899876672774553,0.02064307026739698,True,19.875737596303225,133.5217918972097,166.39465710084536,3813.0,0,0.3123067391427138,0.3123067391427138,0.0,0.11156188696622849,38.9753744751215,0,0,0,0,0,20,0,0
45000,0.0097,0.01761570769303944,4.248861896805465,3.099906725808978,0.02173429829417728,True,30.123488932847977,268.60132723753316,217.6492372795943,5000.0,5000,0.041023491829890395,0.041023491829890395,0.0,0.11145439743995667,39.60983283817768,0,0,0,0,20,0,0,0
60000,0.00955,-0.0015111384127521887,0.738850258756429,3.095008382573724,0.013083056022878736,False,33.107203155756,562.6503018158962,421.1898849739809,5000.0,5000,0.06852747001005768,0.06852747001005767,1.3877787807814457e-17,0.11152531951665878,40.23611116036773,0,0,0,0,20,0,0,0
75000,0.0094,0.0021332972173695453,2.369062116369605,3.086901541799307,0.008397482146392576,False,32.709812715649605,821.3029430872169,389.7209433907041,2389.0,2368,0.33701740736149965,0.33701740736149965,0.0,0.11156188696622849,40.66806637495756,0,0,0,0,20,0,0,0
90000,0.009250000000000001,0.00010866047523450106,0.3468890441581607,3.095307746902108,0.007463047411874868,False,40.42899542301893,603.1686461496082,378.9220926318308,1665.0,1644,0.3181434078337746,0.31814340783377454,5.551115123125783e-17,0.11149296909570694,40.98114248737693,0,0,0,0,20,0,0,0
105000,0.0091,0.004821035974600818,1.4048947984119877,3.0958184972405434,0.024822919818689115,True,30.032478883862495,247.3263972978957,36.75579180377326,1006.0,985,0.330309168467691,0.330309168467691,0.0,0.11148902028799057,42.09687712788582,0,0,0,0,20,0,0,0
120000,0.00895,-0.000991439326753607,1.314771906239912,3.1103684660047293,0.011869292706251144,False,32.37889274954796,187.227839301896,30.527647894962808,903.0,882,0.3365080426913999,0.3365080426913999,0.0,0.11110389977693558,42.74990163743496,0,0,0,0,20,0,0,0
135000,0.0088,-0.0014028068871994037,1.4526328190695494,3.1191815361380577,0.012575877524795942,False,32.45114528387785,161.62515511128376,19.661025700277047,877.0,856,0.33696492592323646,0.33696492592323635,1.1102230246251565e-16,0.11090851575136185,42.84853237867355,0,0,0,0,20,0,0,0
150000,0.00865,0.0006450818182202056,1.7926148194819689,3.129717046394944,0.007234150660224259,False,36.07785215228796,165.0448286788379,16.68582621239415,897.0,876,0.3348974956026753,0.33489749560267534,5.551115123125783e-17,0.11065549403429031,42.87576415389776,0,0,0,0,20,0,0,0
165000,0.0085,0.001731590735289501,1.6356109897606075,3.127347206696868,0.012654717778787017,False,32.907338071614504,139.44059622621597,20.20611593578519,1003.0,982,0.32081033170927703,0.3208103317092771,5.551115123125783e-17,0.11070839315652847,43.180835381150246,0,0,0,0,20,0,0,0
180000,0.00835,-0.0010608915472403169,1.2831944181816652,3.1316537484526634,0.006627670067246072,False,32.795938063412905,158.6653773587721,20.69284268118209,817.0,796,0.32864618904258247,0.32864618904258247,0.0,0.1105993241071701,43.5807841271162,0,0,0,0,20,0,0,0
195000,0.0082,0.00030351034365594387,1.3542083050124347,3.1400853991508484,0.007523093008785509,False,30.529463797807693,141.0496728340939,12.096861395548379,858.0,837,0.32534914623690186,0.32534914623690186,0.0,0.11036337912082672,43.93301875144243,0,0,0,0,20,0,0,0
210000,0.00805,-0.0021334478224162012,1.2633411177666858,3.1420193426311016,0.008795038651442155,False,33.22738420218229,148.81653990594526,12.205439680285545,1155.0,1134,0.3227286044159816,0.32272860441598156,5.551115123125783e-17,0.11032922565937042,44.36005061119795,0,0,0,0,20,0,0,0
225000,0.0079,0.0005747489703935571,1.2304059327580035,3.1453252006322145,0.006680007776594721,False,33.027917094528675,164.56892423920308,25.899583252900307,1184.0,1163,0.31659023112245577,0.3165902311224557,5.551115123125783e-17,0.11022000014781952,44.682836547493935,0,0,0,0,20,0,0,0
240000,0.007750000000000001,0.0042704033621703275,1.069499417557381,3.162810804322362,0.011817532431450672,False,33.602130465209484,236.79799312320228,54.609859042020794,1762.0,1741,0.34507990031492786,0.3450799003149279,5.551115123125783e-17,0.10965922474861145,44.934584461152554,0,0,0,0,20,0,0,0
255000,0.0076,0.021870518539799377,2.7969658081419766,3.1647647097706795,0.02073000860400498,True,41.19626157730818,326.22447499163724,95.61592095447868,1307.0,1286,0.34373037009747376,0.3437303700974738,5.551115123125783e-17,0.10968668758869171,44.75790882110596,0,0,0,0,20,0,0,0
270000,0.00745,0.005351099913241342,3.107131465803832,3.1616637781262398,0.02039401030924637,True,32.71474589779973,240.123351996797,44.53340811653764,1235.0,1214,0.32313096139653275,0.3231309613965327,5.551115123125783e-17,0.10979034006595612,44.42866920679808,0,0,0,0,20,0,0,0
285000,0.0073,0.0006084894121158868,1.378244720865041,3.1626865305006504,0.009548747693770565,False,32.26062101125717,269.2062160299984,24.1318116411848,2425.0,2404,0.34075179434108993,0.34075179434108993,0.0,0.10973259806632996,44.348735600709915,0,0,0,0,20,0,0,0
300000,0.007150000000000001,0.002071228576824069,1.3085472220554948,3.166521716862917,0.010300875044777058,False,31.708371002227068,234.7324211844787,22.369258293918346,1207.0,1186,0.3157972141762363,0.31579721417623624,5.551115123125783e-17,0.10960696637630463,44.39912609755993,0,0,0,0,20,0,0,0
315000,0.006999999999999999,-0.0029338597087189555,1.4275982268154621,3.171530494466424,0.012677069258643314,False,33.75358680635691,220.016199396075,17.512559575426266,1039.0,1018,0.31931340328856883,0.31931340328856883,0.0,0.10949861258268356,44.51790754497051,0,0,0,0,20,0,0,0
330000,0.006850000000000001,0.007638758193934336,1.1036818412831053,3.1677886210381985,0.03282858483726159,True,30.27226234227419,268.06468410992863,106.00147248337741,2852.0,2831,0.3217469480474531,0.3217469480474531,0.0,0.10962951183319092,44.939870327711105,0,0,0,0,20,0,0,0
345000,0.006699999999999999,0.005426842028100509,0.80481624789536,3.1433163974434137,0.021764690551208332,True,30.558572866022587,493.99914762801166,210.21040358993832,2577.0,2556,0.3388048479979845,0.3388048479979845,0.0,0.1102379858493805,45.01485811918974,0,0,0,0,20,0,0,0
360000,0.00655,-0.002223058334493544,1.434115078416653,3.1441866792738438,0.013938460106146522,False,29.307259365916252,518.3319993433195,191.51496107524557,1388.0,1367,0.31708132802625555,0.3170813280262555,5.551115123125783e-17,0.11026056855916977,45.17305290699005,0,0,0,0,20,0,0,0
375000,0.0064,-0.0003285381171735935,0.927560608019121,3.1384080927819014,0.011140572882140987,False,32.39573361352086,297.05738928674447,26.259630764544315,1208.0,1187,0.32915416029994227,0.32915416029994227,0.0,0.11041399836540222,45.4832551702857,0,0,0,0,20,0,0,0
390000,0.00625,0.007821235303708818,1.132346220081672,3.1291932836174965,0.009752253172337078,False,31.806816950440407,390.2272825728959,160.34238212984863,5000.0,5000,0.1041238968483706,0.10412389684837059,1.3877787807814457e-17,0.11067607998847961,45.953830160200596,0,0,0,0,20,0,0,0
405000,0.0061,-0.0011540895502548665,0.7085302035557106,3.1235276479274035,0.01169331424171105,False,25.01039908453822,670.4949718210803,415.8874716288544,5000.0,5000,0.06310243066909565,0.06310243066909564,1.3877787807814457e-17,0.11082642525434494,46.08136224746704,0,0,0,0,20,0,0,0
420000,0.0059499999999999996,-8.20568784547504e-05,0.6423168388137128,3.0991895832121372,0.006429622866562568,False,24.46730504371226,930.3843030949283,383.8230310635126,1863.0,1842,0.3253218074238821,0.3253218074238821,0.0,0.11132928729057312,46.26504285633564,0,0,0,0,20,0,0,0
435000,0.0058000000000000005,-0.0012700800289167091,0.5391686353250407,3.0987651981413364,0.008021071364055388,False,30.369440026581287,680.3632423827651,359.47680396819254,1418.0,1397,0.3342978454104059,0.3342978454104059,0.0,0.11137444525957108,46.510186687111855,0,0,0,0,20,0,0,0
450000,0.00565,0.004098311903362628,1.3110853905091062,3.110956648364663,0.01137866340286564,False,30.935391440987587,236.25432708914232,46.18092265815991,1452.0,1431,0.3179450656821794,0.31794506568217934,5.551115123125783e-17,0.11115403473377228,46.55876234173775,0,0,0,0,20,0,0,0
465000,0.0055000000000000005,-0.00046989914699224755,0.9271279678214341,3.1248955111950636,0.006079305516323075,False,28.985447086393833,266.8281378134237,86.28419145597637,1346.0,1325,0.3293075471582368,0.32930754715823674,5.551115123125783e-17,0.11078791320323944,46.82139448821545,0,0,0,0,20,0,0,0
480000,0.00535,0.007752821038593538,1.080722426297143,3.133775847032666,0.020789522022823803,True,29.581880249083042,279.01344120906657,83.98996594593295,1518.0,1497,0.3164012400205604,0.31640124002056036,5.551115123125783e-17,0.11050572991371155,47.193964280188084,0,0,0,0,20,0,0,0
495000,0.005200000000000001,0.0009434740786673501,0.8283103175926954,3.131516169756651,0.010596223059110343,False,30.106028594076633,375.6309108797835,228.05875874642075,5000.0,5000,0.09275104008671464,0.09275104008671464,0.0,0.11035707592964172,47.290613517165184,0,0,0,0,20,0,0,0
510000,0.00505,0.0011445440686657093,0.5724497665651143,3.1415712032467127,0.0074365456675877795,False,25.22321305051446,641.0807111456895,407.4733174058344,5000.0,5000,0.23035307073054576,0.23035307073054573,2.7755575615628914e-17,0.11031755805015564,47.516905374825,0,0,0,0,20,0,0,0
525000,0.0049,-0.0014668574294773862,0.6593638829654083,3.1580586172640324,0.010049480217276141,False,27.081670738756657,904.9294563009568,347.95545299544995,5000.0,5000,0.03580294362181195,0.03580294362181197,1.3877787807814457e-17,0.1098695918917656,47.93943063914776,0,0,0,0,20,0,0,0
540000,0.00475,-0.0015820586195331998,0.4059887785988394,3.1547444965690374,0.0065277971007162705,False,25.634491495788097,1085.2538117798642,221.86640471631318,5000.0,5000,0.07847931993296012,0.07847931993296012,0.0,0.1099582314491272,48.40747184306383,0,0,0,0,20,0,0,0
555000,0.0046,-0.002325120207387954,0.45898941771883983,3.1362373400479555,0.011601584265008569,False,24.379720240831375,1160.2430188873936,140.6651620331866,5000.0,5000,0.09361691848539049,0.09361691848539047,1.3877787807814457e-17,0.11043880134820938,48.91430923342705,0,0,0,0,20,0,0,0
