timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.01,-0.0015706838748883456,3.9108535423874855,0.3110986687242985,0.004043720895424485,False,2.7571903485804796,6.207543703384527,1.0548945736483633,144.0,0,0.37951724689527555,0.3795172468952755,0.22388653457164764,19.015660589560866,0,0,0,0,0,20,0,0
30000,0.00985,-0.004409732326166704,0.7224179957993329,0.2793048433959484,0.009564755629980937,False,5.124980673193932,7.876408755983881,0.8601850887093626,152.0,0,0.37802384693195545,0.37802384693195545,0.22569069266319275,22.792506381869316,0,0,0,0,0,20,0,0
45000,0.0097,-0.003978086984716356,0.7146394778974354,0.23294584639370441,0.007702139890170656,False,6.709507375955582,12.155428567721405,2.801129072923712,171.0,0,0.3611093594102311,0.36110935941023103,0.22832781076431274,25.097512744367123,0,0,0,0,0,20,0,0
60000,0.00955,-0.004018221137812361,1.4092505085282028,0.2203399259597063,0.00761276540288236,False,8.609503099694848,19.563281956382134,5.562398424719247,199.0,0,0.373370224493115,0.37337022449311497,0.22902539372444153,25.703334849327803,0,0,0,0,0,20,0,0
75000,0.0094,-0.002050556184258312,2.838993923738599,0.21609034575521946,0.0060444556147558615,False,10.942856684327126,32.207960807520195,6.67156482544848,245.0,0,0.3876598313413469,0.38765983134134685,0.22925928235054016,25.794227480888367,0,0,0,0,0,20,0,0
90000,0.009250000000000001,-0.0029539963143179193,6.191484745591879,0.2032591998577118,0.0030702513904543594,False,13.75966527685523,22.240540048767635,10.659067871258031,320.0,0,0.3372187826424059,0.33721878264240585,0.23002272844314575,25.820195462554693,0,0,0,0,0,20,0,0
105000,0.0091,-0.0005952337014605291,5.319686356931925,0.185880858451128,0.003793984098592773,False,8.229566264897585,16.140240237591556,6.910566971243143,222.0,0,0.3764500541995305,0.3764500541995305,0.2310064285993576,25.352053999900818,0,0,0,0,0,20,0,0
120000,0.00895,-0.0020060291280969977,1.6158487685024738,0.1623597200959921,0.006966947461478412,False,8.092254962772131,12.1406921266944,1.5966098700819258,209.0,0,0.3891721756001988,0.3891721756001988,0.2323606014251709,26.372684128582478,0,0,0,0,0,20,0,0
135000,0.0088,-0.0003283500700490549,1.216941240010783,0.1430257260799408,0.004840460154809989,False,9.86762036383152,16.32519747893842,7.8874860848286135,228.0,0,0.38474886722733703,0.384748867227337,0.23353318870067596,27.510044679045677,0,0,0,0,0,20,0,0
150000,0.00865,-0.003183140855981037,2.064656405709684,0.14305701665580273,0.010227566031971946,False,9.091683756560087,25.429450218054892,7.10268264981101,215.0,0,0.38496248105162123,0.3849624810516212,0.23346181213855743,28.124826174229383,0,0,0,0,0,20,0,0
165000,0.0085,-0.0003252696988056414,1.3919149520806968,0.14564476907253265,0.004372311872430146,False,8.376908633857965,20.437338606948142,6.53365763476617,194.0,0,0.36134123064632984,0.3613412306463298,0.2332892119884491,28.60272553563118,0,0,0,0,0,20,0,0
180000,0.00835,-0.004458906783838756,0.4643019817303866,0.14972600154578686,0.007832742005120963,False,7.7700300142169,13.893911930643645,1.3708738864808967,193.0,0,0.36020503602459464,0.3602050360245947,0.23310837149620056,29.29857500270009,0,0,0,0,0,20,0,0
195000,0.0082,-0.0021815882646478713,2.3868829673156142,0.14470579847693443,0.01049494239850901,False,12.653436418622732,29.299429231031855,6.80383117944044,247.0,0,0.35810860511707965,0.35810860511707965,0.23341649770736694,29.702620442956686,0,0,0,0,0,20,0,0
210000,0.00805,-0.0037351909995777532,2.3001212822273374,0.132465785369277,0.005551933543756604,False,18.56527205556631,28.173773052662,6.924425620981116,237.0,0,0.38227893569106486,0.3822789356910649,0.23409846425056458,30.122029073536396,0,0,0,0,0,20,0,0
225000,0.0079,-0.0017443131073378026,1.4848681879229844,0.13083316944539547,0.006383211017237045,False,14.002557158470154,22.37275873194653,7.791755565317865,230.0,0,0.3937970299159394,0.39379702991593946,0.23420116305351257,30.360350996255875,0,0,0,0,0,20,0,0
240000,0.007750000000000001,-0.0034814719983842224,1.1185893553774804,0.1316917296499014,0.006421102909371257,False,8.831111423671246,19.372948844176197,6.323161587146381,219.0,0,0.3816989388169941,0.3816989388169941,0.2341327965259552,30.571235582232475,0,0,0,0,0,20,0,0
255000,0.0076,0.0018809991670423187,2.575269644148648,0.14668923988938332,0.007233280790387653,False,19.192150577902794,33.600080032486524,4.637541636361969,219.0,0,0.33719629658107475,0.3371962965810747,0.233247309923172,30.947970394045115,0,0,0,0,0,20,0,0
270000,0.00745,-0.0047943262761691585,2.1811294411309063,0.14232046343386173,0.00847550161415711,False,21.654478766024113,33.183703841522586,10.151807176360096,255.0,0,0.36362459739717384,0.3636245973971738,0.2335413247346878,31.670167230069637,0,0,0,0,0,20,0,0
285000,0.0073,-0.0005228649533819407,2.048682112246752,0.16047352366149426,0.00890632533992175,False,18.37626412138343,35.1101243492018,3.8995111114065657,242.0,0,0.36589258579379347,0.3658925857937934,0.23241934180259705,31.884718995541334,0,0,0,0,0,20,0,0
300000,0.007150000000000001,-0.0027528144710231572,1.7394388495013118,0.1506205890327692,0.004459236792172305,False,20.93537913262844,28.20295143668194,9.072861381971812,213.0,0,0.35519858623205897,0.35519858623205897,0.23308995366096497,32.344972774386406,0,0,0,0,0,20,0,0
315000,0.006999999999999999,-0.004484781427890994,2.225650206208229,0.14931104332208633,0.005439105138066225,False,27.451284676790237,33.17312127694245,6.579338679873847,230.0,0,0.34342736876936786,0.3434273687693678,0.23312857747077942,32.78302991390228,0,0,0,0,0,20,0,0
330000,0.006850000000000001,-0.0008968030742835253,2.325334580615163,0.15549886412918568,0.003790751376072876,False,30.615090657025576,36.28830752071191,7.8485435553944916,245.0,0,0.3416103189360903,0.3416103189360903,0.2328072190284729,33.41084671765566,0,0,0,0,0,20,0,0
345000,0.006699999999999999,-0.0027931331424042583,1.5638166810385883,0.16035186313092709,0.005651901359669864,False,26.964623287320137,23.089175254289845,8.650696989372769,233.0,0,0.3494612269785927,0.34946122697859267,0.2325761616230011,33.68330071866512,0,0,0,0,0,20,0,0
360000,0.00655,-0.003993194637587294,2.296758775599301,0.16688565537333488,0.008204915109672584,False,32.94258613884449,33.87506487705716,8.556295018559675,253.0,0,0.3684408821367794,0.3684408821367794,0.23217488825321198,34.12517128139734,0,0,0,0,0,20,0,0
375000,0.0064,-0.0027030759811168537,1.888134719338268,0.1775133479386568,0.00610800574941095,False,26.40070566534996,25.661303287732057,8.595357885857378,228.0,0,0.379601994346183,0.37960199434618297,0.231610506772995,34.22405233234167,0,0,0,0,0,20,0,0
390000,0.00625,-0.00218584988033399,2.2567328987643123,0.19537489861249924,0.004325286019593477,False,35.86343406885862,36.47340376461027,4.7815361484693675,260.0,0,0.36764651949145655,0.3676465194914565,0.2305053472518921,34.11151761934161,0,0,0,0,0,20,0,0
405000,0.0061,-0.001830452005378902,2.385285441763699,0.20442894473671913,0.002494970234693028,False,29.57870127260685,32.79942214313873,3.1892817994628917,264.0,0,0.3408615127478479,0.3408615127478478,0.22999680042266846,34.003433741629124,0,0,0,0,0,20,0,0
420000,0.0059499999999999996,-0.004530379024799913,2.175625889096409,0.19943308271467686,0.004646620087441988,False,41.11181943118572,34.083690627080685,7.641373677152528,229.0,0,0.3563107430830987,0.3563107430830987,0.2302706241607666,34.32735846191645,0,0,0,0,0,20,0,0
435000,0.0058000000000000005,-0.0034417159185977653,1.914908601436764,0.22004270367324352,0.005988780147163197,False,22.934477005153894,25.595877786056207,7.20091646777886,214.0,0,0.37512070171839856,0.3751207017183985,0.2291143536567688,33.99028832837939,0,0,0,0,0,20,0,0
450000,0.00565,-0.0031482202612096444,2.047839295119047,0.22412288561463356,0.005294026792398654,False,30.778856106102467,30.385787470699277,9.063635976634432,294.0,0,0.3430835732500055,0.34308357325000544,0.22884173691272736,34.19016257673502,0,0,0,0,0,20,0,0
465000,0.0055000000000000005,-0.003990347002400085,2.1016316222958267,0.21831410378217697,0.002424302845611237,False,29.069459185004234,30.118064787062103,7.7125632155265835,205.0,0,0.3636467110622459,0.36364671106224594,0.22917252779006958,34.54516604915261,0,0,0,0,0,20,0,0
